R,G,B,C,Time
453.0,674.0,785.0,2074.0,0.1570000076
450.0,674.0,786.0,2073.0,0.4760000228
434.0,672.0,781.0,2052.0,0.8010000228
415.0,670.0,774.0,2024.0,1.1269999742
395.0,668.0,761.0,1989.0,1.4539999961
384.0,667.0,755.0,1971.0,1.7849999427
377.0,666.0,748.0,1956.0,2.1199998855
374.0,666.0,744.0,1948.0,2.4590001106
371.0,668.0,742.0,1946.0,2.8020000457
370.0,670.0,742.0,1949.0,3.1480000019
370.0,673.0,744.0,1954.0,3.496999979
370.0,677.0,746.0,1961.0,3.8499999046
370.0,682.0,748.0,1968.0,4.2030000686
371.0,688.0,750.0,1979.0,4.5549998283
371.0,691.0,752.0,1984.0,4.9089999198
372.0,694.0,752.0,1989.0,5.2649998664
372.0,696.0,753.0,1992.0,5.618999958
372.0,697.0,753.0,1994.0,5.9730000495
373.0,698.0,753.0,1995.0,6.3270001411
373.0,699.0,752.0,1996.0,6.6820001602
373.0,699.0,752.0,1995.0,7.0370001792
373.0,699.0,751.0,1995.0,7.3949999809
374.0,699.0,750.0,1994.0,7.75
374.0,699.0,749.0,1994.0,8.1049995422
374.0,699.0,749.0,1993.0,8.4610004425
375.0,698.0,748.0,1992.0,8.8149995803
375.0,698.0,747.0,1991.0,9.1689996719
375.0,698.0,747.0,1990.0,9.5220003128
376.0,698.0,746.0,1990.0,9.8760004043
376.0,697.0,746.0,1989.0,10.2279996871
376.0,697.0,745.0,1988.0,10.5850000381
376.0,697.0,744.0,1988.0,10.9429998397
377.0,697.0,744.0,1987.0,11.3000001907
377.0,696.0,744.0,1987.0,11.6560001373
377.0,696.0,743.0,1986.0,12.0139999389
378.0,696.0,743.0,1986.0,12.3699998855
378.0,696.0,742.0,1986.0,12.7279996871
378.0,696.0,742.0,1985.0,13.0830001831
378.0,696.0,742.0,1985.0,13.4399995803
379.0,695.0,741.0,1985.0,13.7969999313
379.0,695.0,741.0,1985.0,14.1540002822
379.0,695.0,741.0,1985.0,14.5089998245
380.0,695.0,740.0,1984.0,14.8669996261
380.0,695.0,740.0,1984.0,15.2239999771
380.0,695.0,740.0,1984.0,15.5799999237
381.0,695.0,739.0,1984.0,15.9359998703
381.0,695.0,739.0,1984.0,16.2929992675
381.0,695.0,739.0,1984.0,16.6499996185
382.0,695.0,739.0,1984.0,17.0060005187
382.0,694.0,738.0,1984.0,17.361000061
382.0,694.0,738.0,1984.0,17.7169990539
383.0,694.0,738.0,1984.0,18.0720005035
383.0,694.0,738.0,1985.0,18.4270000457
384.0,694.0,738.0,1985.0,18.7810001373
