
R:333 G:509 B:616 C:1583 cur_avg143 prev_avg0 read_idx1 Time:0.1240000009 Measured Time: 0  
R:335 G:526 B:641 C:1634 cur_avg292 prev_avg143 read_idx2 Time:0.2779999971 Measured Time: 0  
R:335 G:531 B:649 C:1651 cur_avg442 prev_avg292 read_idx3 Time:0.4339999675 Measured Time: 0  
R:333 G:522 B:639 C:1627 cur_avg590 prev_avg442 read_idx4 Time:0.5889999866 Measured Time: 0  
R:333 G:527 B:648 C:1645 cur_avg740 prev_avg590 read_idx5 Time:0.7440000057 Measured Time: 0  
R:329 G:508 B:618 C:1585 cur_avg884 prev_avg740 read_idx6 Time:0.9000000000 Measured Time: 0  
R:326 G:488 B:585 C:1524 cur_avg1022 prev_avg884 read_idx7 Time:1.0549999475 Measured Time: 0  
R:326 G:488 B:585 C:1524 cur_avg1161 prev_avg1022 read_idx8 Time:1.2120000123 Measured Time: 0  
R:326 G:488 B:584 C:1523 cur_avg1299 prev_avg1161 read_idx9 Time:1.3700000047 Measured Time: 0  
R:326 G:488 B:583 C:1523 cur_avg1438 prev_avg1299 read_idx10 Time:1.5269999504 Measured Time: 0  
R:326 G:488 B:583 C:1523 cur_avg1576 prev_avg1438 read_idx0 Time:1.6859999656 Measured Time: 0  
R:327 G:488 B:583 C:1522 cur_avg1571 prev_avg1576 read_idx1 Time:1.8439999580 Measured Time: 0  
R:326 G:488 B:583 C:1522 cur_avg1560 prev_avg1571 read_idx2 Time:2.0009999275 Measured Time: 0  
R:326 G:487 B:583 C:1522 cur_avg1549 prev_avg1560 read_idx3 Time:2.1589999198 Measured Time: 0  
R:327 G:488 B:583 C:1522 cur_avg1539 prev_avg1549 read_idx4 Time:2.3169999122 Measured Time: 0  
R:327 G:488 B:583 C:1522 cur_avg1528 prev_avg1539 read_idx5 Time:2.4739999771 Measured Time: 0  
R:327 G:488 B:583 C:1523 cur_avg1522 prev_avg1528 read_idx6 Time:2.6319999694 Measured Time: 0  
R:326 G:488 B:583 C:1522 cur_avg1522 prev_avg1522 read_idx7 Time:2.7899999618 Measured Time: 0  
R:326 G:488 B:583 C:1522 cur_avg1522 prev_avg1522 read_idx8 Time:2.9479999542 Measured Time: 0  
R:326 G:488 B:583 C:1522 cur_avg1522 prev_avg1522 read_idx9 Time:3.1050000190 Measured Time: 0  
R:326 G:488 B:583 C:1522 cur_avg1522 prev_avg1522 read_idx10 Time:3.2630000114 Measured Time: 0  
R:326 G:488 B:583 C:1522 cur_avg1522 prev_avg1522 read_idx0 Time:3.4219999313 Measured Time: 0  
R:326 G:487 B:583 C:1521 cur_avg1522 prev_avg1522 read_idx1 Time:3.5789999961 Measured Time: 0  
R:326 G:487 B:582 C:1521 cur_avg1521 prev_avg1522 read_idx2 Time:3.7369999885 Measured Time: 0  
R:326 G:487 B:582 C:1521 cur_avg1521 prev_avg1521 read_idx3 Time:3.8949999809 Measured Time: 0  
R:326 G:487 B:582 C:1521 cur_avg1521 prev_avg1521 read_idx4 Time:4.0520000457 Measured Time: 0  
R:326 G:487 B:582 C:1521 cur_avg1521 prev_avg1521 read_idx5 Time:4.2100000381 Measured Time: 0  
R:326 G:487 B:582 C:1521 cur_avg1521 prev_avg1521 read_idx6 Time:4.3680000305 Measured Time: 0  
R:326 G:487 B:582 C:1521 cur_avg1521 prev_avg1521 read_idx7 Time:4.5260000228 Measured Time: 0  
R:326 G:487 B:583 C:1522 cur_avg1521 prev_avg1521 read_idx8 Time:4.6830000877 Measured Time: 0  
R:326 G:487 B:583 C:1521 cur_avg1521 prev_avg1521 read_idx9 Time:4.8410000801 Measured Time: 0  
R:326 G:487 B:582 C:1521 cur_avg1521 prev_avg1521 read_idx10 Time:4.9990000724 Measured Time: 0  
R:326 G:487 B:582 C:1520 cur_avg1521 prev_avg1521 read_idx0 Time:5.1570000648 Measured Time: 0  
R:326 G:487 B:582 C:1521 cur_avg1521 prev_avg1521 read_idx1 Time:5.3150000572 Measured Time: 0  
R:326 G:486 B:580 C:1517 cur_avg1520 prev_avg1521 read_idx2 Time:5.4730000495 Measured Time: 0  
R:326 G:486 B:580 C:1517 cur_avg1520 prev_avg1520 read_idx3 Time:5.6300001144 Measured Time: 0  
R:326 G:486 B:580 C:1517 cur_avg1519 prev_avg1520 read_idx4 Time:5.7880001068 Measured Time: 0  
R:326 G:486 B:580 C:1517 cur_avg1519 prev_avg1519 read_idx5 Time:5.9460000991 Measured Time: 0  
R:326 G:486 B:580 C:1517 cur_avg1519 prev_avg1519 read_idx6 Time:6.1040000915 Measured Time: 0  
R:326 G:486 B:580 C:1517 cur_avg1518 prev_avg1519 read_idx7 Time:6.2610001564 Measured Time: 0  
