R:339 G:449 B:527 C:1414 cur_avg128 prev_avg0 read_idx1 Time:0.1220000028 Measured Time: 0  
R:338 G:448 B:526 C:1411 cur_avg256 prev_avg128 read_idx2 Time:0.2759999990 Measured Time: 0  
R:337 G:450 B:533 C:1421 cur_avg386 prev_avg256 read_idx3 Time:0.4320000171 Measured Time: 0  
R:336 G:444 B:524 C:1405 cur_avg513 prev_avg386 read_idx4 Time:0.5869999885 Measured Time: 0  
R:334 G:436 B:511 C:1380 cur_avg639 prev_avg513 read_idx5 Time:0.7429999828 Measured Time: 0  
R:335 G:443 B:522 C:1401 cur_avg766 prev_avg639 read_idx6 Time:0.8989999771 Measured Time: 0  
R:337 G:455 B:539 C:1434 cur_avg896 prev_avg766 read_idx7 Time:1.0540000200 Measured Time: 0  
R:336 G:447 B:527 C:1412 cur_avg1025 prev_avg896 read_idx8 Time:1.2100000381 Measured Time: 0  
R:337 G:453 B:536 C:1430 cur_avg1155 prev_avg1025 read_idx9 Time:1.3669999837 Measured Time: 0  
R:336 G:451 B:533 C:1424 cur_avg1284 prev_avg1155 read_idx10 Time:1.5240000724 Measured Time: 0  
R:336 G:447 B:528 C:1412 cur_avg1413 prev_avg1284 read_idx0 Time:1.6829999923 Measured Time: 0  
R:335 G:446 B:526 C:1410 cur_avg1412 prev_avg1413 read_idx1 Time:1.8409999847 Measured Time: 0  
R:335 G:443 B:520 C:1399 cur_avg1411 prev_avg1412 read_idx2 Time:1.9980000495 Measured Time: 0  
R:335 G:445 B:524 C:1406 cur_avg1410 prev_avg1411 read_idx3 Time:2.1559998989 Measured Time: 0  
R:336 G:447 B:526 C:1411 cur_avg1410 prev_avg1410 read_idx4 Time:2.3139998912 Measured Time: 0  
R:335 G:446 B:525 C:1408 cur_avg1413 prev_avg1410 read_idx5 Time:2.4719998836 Measured Time: 0  
R:335 G:444 B:522 C:1402 cur_avg1413 prev_avg1413 read_idx6 Time:2.6289999485 Measured Time: 0  
R:335 G:444 B:521 C:1401 cur_avg1410 prev_avg1413 read_idx7 Time:2.7869999408 Measured Time: 0  
R:335 G:444 B:522 C:1402 cur_avg1409 prev_avg1410 read_idx8 Time:2.9449998855 Measured Time: 0  
R:335 G:444 B:522 C:1403 cur_avg1407 prev_avg1409 read_idx9 Time:3.1019999980 Measured Time: 0  
