R,G,B,C,Time
520.0,814.0,904.0,2442.0,0.1549999952
520.0,814.0,904.0,2442.0,0.475
513.0,814.0,902.0,2433.0,0.7990000247
499.0,812.0,896.0,2413.0,1.125
484.0,810.0,887.0,2387.0,1.4529999732
475.0,808.0,881.0,2369.0,1.7860000133
470.0,807.0,878.0,2360.0,2.1229999065
467.0,808.0,878.0,2359.0,2.4639999866
466.0,810.0,879.0,2361.0,2.8069999694
466.0,813.0,881.0,2367.0,3.1549999713
465.0,816.0,884.0,2373.0,3.5050001144
465.0,819.0,886.0,2378.0,3.8579999923
465.0,823.0,888.0,2384.0,4.2109999656
465.0,824.0,888.0,2386.0,4.5650000572
465.0,825.0,889.0,2387.0,4.9200000762
465.0,825.0,889.0,2388.0,5.2760000228
465.0,825.0,889.0,2387.0,5.6319999694
465.0,825.0,888.0,2387.0,5.9850001335
465.0,824.0,888.0,2386.0,6.3379998207
465.0,824.0,888.0,2386.0,6.6919999122
465.0,824.0,888.0,2386.0,7.0469999313
465.0,824.0,888.0,2385.0,7.4010000228
465.0,824.0,888.0,2386.0,7.7540001869
465.0,824.0,887.0,2385.0,8.1079998016
466.0,824.0,887.0,2385.0,8.4610004425
466.0,824.0,887.0,2385.0,8.8129997253
466.0,824.0,887.0,2385.0,9.1660003662
466.0,824.0,887.0,2386.0,9.5220003128
466.0,824.0,887.0,2385.0,9.8760004043
466.0,824.0,887.0,2385.0,10.2290000915
466.0,824.0,887.0,2385.0,10.5850000381
467.0,824.0,887.0,2386.0,10.9390001296
467.0,824.0,887.0,2386.0,11.2939996719
467.0,824.0,887.0,2386.0,11.6479997634
467.0,824.0,887.0,2386.0,12.001999855
467.0,824.0,887.0,2386.0,12.3559999465
468.0,824.0,887.0,2387.0,12.7089996337
468.0,824.0,886.0,2387.0,13.0640001296
468.0,824.0,886.0,2387.0,13.4180002212
468.0,824.0,886.0,2387.0,13.7720003128
468.0,824.0,886.0,2387.0,14.1260004043
468.0,824.0,886.0,2387.0,14.4799995422
468.0,824.0,886.0,2387.0,14.8339996337
469.0,824.0,886.0,2388.0,15.1890001296
469.0,824.0,886.0,2388.0,15.5430002212
469.0,824.0,886.0,2388.0,15.8970003128
469.0,825.0,886.0,2389.0,16.2509994506
469.0,825.0,886.0,2389.0,16.6049995422
470.0,825.0,886.0,2389.0,16.9589996337
470.0,825.0,886.0,2389.0,17.3129997253
470.0,825.0,886.0,2389.0,17.6669998168
470.0,825.0,886.0,2390.0,18.0209999084
470.0,825.0,886.0,2390.0,18.375
471.0,825.0,886.0,2391.0,18.7299995422
471.0,825.0,886.0,2390.0,19.0839996337
471.0,825.0,886.0,2391.0,19.4379997253
471.0,825.0,886.0,2391.0,19.7919998168
472.0,825.0,886.0,2392.0,20.1459999084
472.0,825.0,886.0,2392.0,20.5
472.0,826.0,886.0,2392.0,20.8540000915
472.0,826.0,886.0,2392.0,21.2089996337
472.0,826.0,886.0,2392.0,21.5620002746
473.0,826.0,886.0,2393.0,21.9160003662
473.0,826.0,886.0,2393.0,22.2709999084
473.0,826.0,886.0,2394.0,22.6240005493
473.0,826.0,886.0,2394.0,22.9790000915
474.0,826.0,886.0,2395.0,23.3330001831
474.0,826.0,886.0,2395.0,23.6879997253
474.0,826.0,886.0,2395.0,24.0410003662
474.0,826.0,886.0,2395.0,24.3950004577
474.0,827.0,886.0,2396.0,24.75
475.0,827.0,886.0,2397.0,25.1040000915
475.0,827.0,886.0,2397.0,25.4570007324
475.0,827.0,886.0,2397.0,25.8120002746
475.0,827.0,886.0,2397.0,26.1669998168
476.0,827.0,886.0,2398.0,26.5209999084
476.0,827.0,886.0,2399.0,26.8780002593
476.0,827.0,886.0,2399.0,27.2329998016
477.0,828.0,886.0,2399.0,27.5879993438
477.0,828.0,886.0,2400.0,27.9419994354
477.0,828.0,886.0,2400.0,28.2980003356
477.0,828.0,886.0,2401.0,28.6529998779
478.0,828.0,886.0,2401.0,29.0079994201
478.0,828.0,886.0,2401.0,29.3630008697
478.0,828.0,886.0,2402.0,29.7180004119
479.0,828.0,886.0,2403.0,30.0729999542
479.0,829.0,887.0,2403.0,30.4290008544
479.0,829.0,887.0,2404.0,30.7840003967
480.0,829.0,887.0,2405.0,31.1389999389
480.0,829.0,887.0,2405.0,31.4950008392
480.0,829.0,887.0,2405.0,31.8500003814
481.0,829.0,887.0,2406.0,32.2039985656
481.0,829.0,887.0,2406.0,32.5600013732
481.0,829.0,887.0,2407.0,32.9150009155
482.0,830.0,887.0,2408.0,33.2700004577
482.0,830.0,887.0,2408.0,33.625
482.0,830.0,887.0,2409.0,33.9799995422
483.0,830.0,887.0,2409.0,34.3349990844
483.0,830.0,887.0,2410.0,34.6920013427
484.0,830.0,887.0,2410.0,35.0460014343
484.0,830.0,887.0,2411.0,35.4010009765
484.0,830.0,887.0,2411.0,35.7569999694
485.0,831.0,887.0,2412.0,36.1119995117
485.0,831.0,887.0,2413.0,36.4659996032
486.0,831.0,887.0,2413.0,36.8219985961
486.0,831.0,887.0,2414.0,37.1769981384
487.0,831.0,887.0,2415.0,37.5320014953
487.0,831.0,887.0,2416.0,37.8870010375
487.0,831.0,887.0,2416.0,38.2420005798
488.0,831.0,887.0,2416.0,38.5979995727
488.0,832.0,887.0,2418.0,38.9529991149
489.0,832.0,887.0,2418.0,39.3079986572
489.0,832.0,888.0,2419.0,39.6629981994
490.0,832.0,888.0,2419.0,40.019001007
490.0,832.0,888.0,2420.0,40.3730010986
491.0,832.0,888.0,2421.0,40.7280006408
491.0,832.0,888.0,2421.0,41.0830001831
491.0,832.0,888.0,2421.0,41.438999176
492.0,832.0,888.0,2422.0,41.7929992675
492.0,833.0,888.0,2423.0,42.1479988098
493.0,833.0,888.0,2424.0,42.5050010681
493.0,833.0,888.0,2424.0,42.8600006103
494.0,833.0,888.0,2425.0,43.2140007019
494.0,833.0,888.0,2426.0,43.5699996948
495.0,833.0,888.0,2426.0,43.924999237
495.0,833.0,888.0,2427.0,44.2799987792
496.0,833.0,888.0,2428.0,44.6349983215
496.0,833.0,888.0,2428.0,44.9900016784
497.0,833.0,888.0,2429.0,45.3450012207
497.0,834.0,888.0,2430.0,45.7010002136
498.0,834.0,888.0,2431.0,46.0550003051
498.0,834.0,888.0,2431.0,46.410999298
499.0,834.0,888.0,2433.0,46.766998291
500.0,834.0,888.0,2433.0,47.1220016479
500.0,834.0,888.0,2434.0,47.4760017395
501.0,834.0,888.0,2434.0,47.8320007324
502.0,834.0,888.0,2435.0,48.1870002746
502.0,834.0,888.0,2436.0,48.5419998168
503.0,834.0,888.0,2437.0,48.8969993591
503.0,834.0,888.0,2437.0,49.2519989013
504.0,835.0,889.0,2438.0,49.6069984436
505.0,835.0,889.0,2439.0,49.9630012512
505.0,835.0,889.0,2440.0,50.3180007934
506.0,835.0,889.0,2440.0,50.6730003356
506.0,835.0,889.0,2441.0,51.0289993286
507.0,835.0,889.0,2442.0,51.3829994201
508.0,835.0,889.0,2443.0,51.7379989624
508.0,835.0,889.0,2444.0,52.09400177
509.0,835.0,889.0,2445.0,52.4490013122
510.0,835.0,889.0,2445.0,52.8030014038
511.0,835.0,889.0,2446.0,53.158000946
511.0,835.0,889.0,2447.0,53.5139999389
512.0,835.0,888.0,2447.0,53.8689994812
512.0,835.0,888.0,2447.0,54.2239990234
513.0,835.0,888.0,2448.0,54.580001831
514.0,835.0,888.0,2449.0,54.9350013732
514.0,835.0,888.0,2450.0,55.2900009155
515.0,835.0,888.0,2450.0,55.6450004577
516.0,835.0,888.0,2451.0,56.0
517.0,835.0,888.0,2452.0,56.3549995422
517.0,835.0,888.0,2452.0,56.7109985351
518.0,835.0,888.0,2453.0,57.0649986267
518.0,835.0,888.0,2453.0,57.4199981689
519.0,835.0,888.0,2454.0,57.7760009765
520.0,835.0,888.0,2455.0,58.1319999694
521.0,835.0,888.0,2456.0,58.486000061
521.0,835.0,888.0,2456.0,58.8419990539
522.0,835.0,888.0,2457.0,59.1969985961
523.0,835.0,888.0,2458.0,59.5519981384
524.0,835.0,888.0,2458.0,59.9070014953
525.0,835.0,888.0,2459.0,60.2620010375
526.0,834.0,888.0,2460.0,60.6170005798
526.0,834.0,888.0,2461.0,60.9729995727
527.0,835.0,888.0,2461.0,61.3269996643
528.0,834.0,888.0,2462.0,61.6819992065
529.0,834.0,888.0,2463.0,62.0390014648
530.0,834.0,888.0,2464.0,62.394001007
530.0,834.0,887.0,2464.0,62.7480010986
531.0,834.0,887.0,2465.0,63.1040000915
532.0,834.0,887.0,2465.0,63.4589996337
533.0,834.0,887.0,2467.0,63.813999176
534.0,834.0,887.0,2467.0,64.1689987182
534.0,834.0,887.0,2468.0,64.5240020751
535.0,834.0,887.0,2469.0,64.8789978027
536.0,834.0,887.0,2469.0,65.2350006103
537.0,834.0,887.0,2471.0,65.5889968872
538.0,834.0,887.0,2472.0,65.9449996948
539.0,834.0,887.0,2472.0,66.3010025024
539.0,834.0,887.0,2473.0,66.6559982299
541.0,834.0,887.0,2474.0,67.0100021362
541.0,834.0,887.0,2475.0,67.3649978637
542.0,834.0,887.0,2476.0,67.7210006713
543.0,834.0,887.0,2477.0,68.0749969482
544.0,834.0,888.0,2478.0,68.4300003051
545.0,834.0,887.0,2479.0,68.7860031127
546.0,834.0,888.0,2480.0,69.1409988403
547.0,835.0,888.0,2481.0,69.4950027465
547.0,834.0,888.0,2482.0,69.8519973754
548.0,834.0,887.0,2482.0,70.2070007324
549.0,834.0,887.0,2483.0,70.5619964599
550.0,834.0,887.0,2484.0,70.9169998168
551.0,835.0,888.0,2485.0,71.2720031738
552.0,835.0,888.0,2486.0,71.6269989013
553.0,835.0,888.0,2487.0,71.9830017089
554.0,835.0,888.0,2487.0,72.3369979858
554.0,835.0,888.0,2488.0,72.6920013427
556.0,835.0,888.0,2489.0,73.0479965209
556.0,835.0,888.0,2491.0,73.4029998779
557.0,835.0,888.0,2491.0,73.7590026855
558.0,835.0,888.0,2492.0,74.1159973144
559.0,835.0,888.0,2493.0,74.472000122
560.0,835.0,888.0,2494.0,74.8280029296
561.0,835.0,888.0,2495.0,75.1839981079
562.0,835.0,888.0,2496.0,75.5400009155
562.0,835.0,888.0,2497.0,75.8960037231
564.0,835.0,888.0,2498.0,76.252998352
564.0,835.0,888.0,2499.0,76.6080017089
565.0,835.0,888.0,2500.0,76.9639968872
566.0,835.0,888.0,2501.0,77.3209991455
567.0,835.0,888.0,2502.0,77.6780014038
568.0,835.0,888.0,2503.0,78.0350036621
569.0,835.0,888.0,2504.0,78.3899993896
569.0,835.0,889.0,2505.0,78.7460021972
570.0,835.0,889.0,2506.0,79.1029968261
571.0,836.0,889.0,2507.0,79.4589996337
572.0,836.0,889.0,2508.0,79.8140029907
573.0,836.0,889.0,2509.0,80.1709976196
573.0,836.0,889.0,2510.0,80.5270004272
575.0,836.0,889.0,2511.0,80.8830032348
575.0,836.0,889.0,2512.0,81.238998413
576.0,836.0,889.0,2513.0,81.5960006713
577.0,836.0,889.0,2514.0,81.952003479
578.0,836.0,889.0,2515.0,82.3089981079
578.0,836.0,889.0,2516.0,82.6640014648
579.0,836.0,889.0,2517.0,83.019996643
580.0,836.0,889.0,2517.0,83.3769989013
581.0,836.0,890.0,2519.0,83.7330017089
581.0,836.0,890.0,2519.0,84.0879974365
582.0,837.0,890.0,2520.0,84.4449996948
583.0,837.0,890.0,2521.0,84.8010025024
583.0,837.0,890.0,2522.0,85.1569976806
584.0,837.0,890.0,2523.0,85.5139999389
585.0,837.0,890.0,2524.0,85.8700027465
586.0,837.0,890.0,2524.0,86.2269973754
586.0,837.0,890.0,2525.0,86.5830001831
587.0,837.0,891.0,2526.0,86.9390029907
588.0,837.0,891.0,2527.0,87.2949981689
588.0,837.0,891.0,2527.0,87.6510009765
589.0,837.0,891.0,2528.0,88.0070037841
589.0,837.0,891.0,2529.0,88.363998413
590.0,837.0,891.0,2530.0,88.71900177
590.0,837.0,891.0,2531.0,89.0749969482
591.0,837.0,891.0,2531.0,89.4329986572
591.0,838.0,891.0,2532.0,89.7890014648
592.0,838.0,891.0,2533.0,90.1439971923
592.0,838.0,892.0,2533.0,90.5009994506
593.0,838.0,892.0,2534.0,90.8570022583
593.0,838.0,892.0,2535.0,91.2129974365
594.0,838.0,892.0,2535.0,91.5690002441
594.0,838.0,892.0,2536.0,91.9250030517
595.0,838.0,892.0,2536.0,92.2809982299
595.0,838.0,892.0,2537.0,92.6380004882
596.0,838.0,892.0,2538.0,92.9929962158
596.0,838.0,892.0,2538.0,93.3499984741
596.0,838.0,892.0,2539.0,93.7070007324
596.0,838.0,893.0,2539.0,94.06300354
597.0,838.0,893.0,2539.0,94.4199981689
597.0,838.0,893.0,2540.0,94.7750015258
597.0,838.0,893.0,2540.0,95.1309967041
598.0,838.0,893.0,2541.0,95.4879989624
598.0,838.0,893.0,2541.0,95.84400177
598.0,839.0,893.0,2542.0,96.1989974975
598.0,839.0,893.0,2542.0,96.5559997558
599.0,839.0,893.0,2542.0,96.9120025634
599.0,839.0,894.0,2543.0,97.2689971923
