R:337 G:473 B:570 C:1497 cur_avg2659 prev_avg2776 read_idx2 Time:0.1230000019 
R:336 G:465 B:558 C:1475 cur_avg2541 prev_avg2659 read_idx3 Time:0.2619999885 
R:335 G:466 B:558 C:1477 cur_avg2423 prev_avg2541 read_idx4 Time:0.4009999752 
R:334 G:463 B:554 C:1468 cur_avg2304 prev_avg2423 read_idx5 Time:0.5400000095 
R:336 G:468 B:558 C:1481 cur_avg2187 prev_avg2304 read_idx6 Time:0.6789999961 
R:336 G:468 B:555 C:1480 cur_avg2069 prev_avg2187 read_idx7 Time:0.8180000305 
R:336 G:471 B:560 C:1487 cur_avg1952 prev_avg2069 read_idx8 Time:0.9559999465 
R:334 G:460 B:543 C:1456 cur_avg1831 prev_avg1952 read_idx9 Time:1.0959999561 
R:335 G:462 B:545 C:1460 cur_avg1712 prev_avg1831 read_idx10 Time:1.2350000143 
R:335 G:461 B:543 C:1457 cur_avg1592 prev_avg1712 read_idx0 Time:1.3750000000 
R:335 G:462 B:546 C:1462 cur_avg1472 prev_avg1592 read_idx1 Time:1.5140000343 
R:335 G:462 B:546 C:1462 cur_avg1469 prev_avg1472 read_idx2 Time:1.6529999732 
R:335 G:462 B:546 C:1462 cur_avg1468 prev_avg1469 read_idx3 Time:1.7920000553 
R:335 G:461 B:545 C:1459 cur_avg1466 prev_avg1468 read_idx4 Time:1.9299999237 
R:335 G:462 B:547 C:1462 cur_avg1466 prev_avg1466 read_idx5 Time:2.0699999332 
R:335 G:462 B:545 C:1460 cur_avg1464 prev_avg1466 read_idx6 Time:2.2090001106 
R:334 G:461 B:545 C:1458 cur_avg1462 prev_avg1464 read_idx7 Time:2.3469998836 
R:334 G:460 B:543 C:1457 cur_avg1459 prev_avg1462 read_idx8 Time:2.4860000610 
R:334 G:459 B:541 C:1452 cur_avg1459 prev_avg1459 read_idx9 Time:2.6259999275 
R:334 G:460 B:543 C:1455 cur_avg1458 prev_avg1459 read_idx10 Time:2.7650001049 
R:334 G:460 B:544 C:1457 cur_avg1458 prev_avg1458 read_idx0 Time:2.9040000915 
R:334 G:460 B:543 C:1455 cur_avg1458 prev_avg1458 read_idx1 Time:3.0429999828 
R:334 G:460 B:543 C:1456 cur_avg1457 prev_avg1458 read_idx2 Time:3.1830000877 
R:334 G:459 B:541 C:1452 cur_avg1456 prev_avg1457 read_idx3 Time:3.3210000991 
R:334 G:458 B:542 C:1452 cur_avg1456 prev_avg1456 read_idx4 Time:3.4600000381 
R:334 G:457 B:539 C:1448 cur_avg1454 prev_avg1456 read_idx5 Time:3.5989999771 
R:334 G:458 B:541 C:1452 cur_avg1454 prev_avg1454 read_idx6 Time:3.7390000820 
R:334 G:459 B:542 C:1452 cur_avg1453 prev_avg1454 read_idx7 Time:3.8770000457 
R:334 G:459 B:542 C:1452 cur_avg1453 prev_avg1453 read_idx8 Time:4.0159997940 
R:334 G:457 B:539 C:1447 cur_avg1452 prev_avg1453 read_idx9 Time:4.1550002098 
R:334 G:459 B:542 C:1453 cur_avg1452 prev_avg1452 read_idx10 Time:4.2940001487 
R:334 G:456 B:538 C:1445 cur_avg1451 prev_avg1452 read_idx0 Time:4.4340000152 
R:334 G:457 B:539 C:1447 cur_avg1450 prev_avg1451 read_idx1 Time:4.5729999542 
R:334 G:458 B:540 C:1450 cur_avg1450 prev_avg1450 read_idx2 Time:4.7109999656 
R:334 G:460 B:543 C:1453 cur_avg1450 prev_avg1450 read_idx3 Time:4.8509998321 
R:334 G:460 B:543 C:1455 cur_avg1450 prev_avg1450 read_idx4 Time:4.9899997711 
R:334 G:459 B:541 C:1451 cur_avg1450 prev_avg1450 read_idx5 Time:5.1290001869 
R:334 G:459 B:542 C:1452 cur_avg1450 prev_avg1450 read_idx6 Time:5.2680001258 
R:334 G:458 B:539 C:1448 cur_avg1450 prev_avg1450 read_idx7 Time:5.4070000648 
