R:360 G:587 B:742 C:1845 cur_avg1752 prev_avg1743 read_idx5 Time:0.1230000019 Measured Time: 0.0000000000  
R:360 G:586 B:739 C:1840 cur_avg1762 prev_avg1752 read_idx6 Time:0.2930000114 Measured Time: 0.0000000000  
R:359 G:575 B:716 C:1802 cur_avg1767 prev_avg1762 read_idx7 Time:0.4619999885 Measured Time: 0.0000000000  
R:358 G:574 B:715 C:1800 cur_avg1772 prev_avg1767 read_idx8 Time:0.6300000190 Measured Time: 0.0000000000  
R:356 G:571 B:711 C:1798 cur_avg1776 prev_avg1772 read_idx9 Time:0.7990000247 Measured Time: 0.0000000000  
R:356 G:573 B:713 C:1795 cur_avg1781 prev_avg1776 read_idx10 Time:0.9680000305 Measured Time: 0.0000000000  
R:356 G:572 B:711 C:1793 cur_avg1785 prev_avg1781 read_idx0 Time:1.1380000114 Measured Time: 0.0000000000  
R:358 G:575 B:710 C:1799 cur_avg1790 prev_avg1785 read_idx1 Time:1.3079999685 Measured Time: 0.0000000000  
R:358 G:575 B:709 C:1799 cur_avg1795 prev_avg1790 read_idx2 Time:1.4769999980 Measured Time: 0.0000000000  
R:358 G:572 B:702 C:1788 cur_avg1800 prev_avg1795 read_idx3 Time:1.6460000038 Measured Time: 0.0000000000  
R:357 G:569 B:700 C:1781 cur_avg1803 prev_avg1800 read_idx4 Time:1.8150000572 Measured Time: 0.0000000000  
R:356 G:568 B:699 C:1778 cur_avg1797 prev_avg1803 read_idx5 Time:1.9840000152 Measured Time: 0.0000000000  
R:356 G:567 B:698 C:1776 cur_avg1791 prev_avg1797 read_idx6 Time:2.1530001163 Measured Time: 0.0000000000  
R:357 G:568 B:699 C:1779 cur_avg1789 prev_avg1791 read_idx7 Time:2.3220000267 Measured Time: 0.0000000000  
R:357 G:568 B:698 C:1777 cur_avg1787 prev_avg1789 read_idx8 Time:2.4920001029 Measured Time: 0.0000000000  
R:357 G:568 B:699 C:1779 cur_avg1785 prev_avg1787 read_idx9 Time:2.6610000133 Measured Time: 0.0000000000  
R:357 G:567 B:697 C:1775 cur_avg1784 prev_avg1785 read_idx10 Time:2.8299999237 Measured Time: 0.0000000000  
R:357 G:569 B:701 C:1781 cur_avg1782 prev_avg1784 read_idx0 Time:3.0000000000 Measured Time: 0.0000000000  
R:357 G:568 B:700 C:1780 cur_avg1781 prev_avg1782 read_idx1 Time:3.1689999103 Measured Time: 0.0000000000  
R:357 G:568 B:700 C:1781 cur_avg1779 prev_avg1781 read_idx2 Time:3.3380000591 Measured Time: 0.0000000000  
R:357 G:568 B:699 C:1779 cur_avg1778 prev_avg1779 read_idx3 Time:3.5079998970 Measured Time: 0.0000000000  
R:357 G:568 B:700 C:1780 cur_avg1778 prev_avg1778 read_idx4 Time:3.6770000457 Measured Time: 0.0000000000  
